symptom,body_region
itching,Skin
skin_rash,Skin
nodal_skin_eruptions,Skin
continuous_sneezing,Respiratory
shivering,General
chills,General
joint_pain,Musculoskeletal
stomach_pain,Gastrointestinal
acidity,Gastrointestinal
ulcers_on_tongue,Oral
muscle_wasting,Musculoskeletal
vomiting,Gastrointestinal
burning_micturition,Urinary
fatigue,General
weight_gain,Endocrine
anxiety,Psychological
cold_hands_and_feets,Circulatory
mood_swings,Psychological
weight_loss,Endocrine
restlessness,Psychological
lethargy,General
patches_in_throat,Oral/Throat
irregular_sugar_level,Endocrine
cough,Respiratory
high_fever,General
sunken_eyes,General
breathlessness,Respiratory
sweating,General
dehydration,General
indigestion,Gastrointestinal
headache,Neurological
yellowish_skin,Skin
dark_urine,Urinary
nausea,Gastrointestinal
loss_of_appetite,Gastrointestinal
pain_behind_the_eyes,Ocular
back_pain,Musculoskeletal
constipation,Gastrointestinal
abdominal_pain,Gastrointestinal
diarrhoea,Gastrointestinal
mild_fever,General
yellow_urine,Urinary
yellowing_of_eyes,Ocular
acute_liver_failure,Gastrointestinal
fluid_overload,Cardiovascular
swelling_of_stomach,Gastrointestinal
swelled_lymph_nodes,Lymphatic
malaise,General
blurred_and_distorted_vision,Ocular
phlegm,Respiratory
throat_irritation,Respiratory
redness_of_eyes,Ocular
sinus_pressure,Respiratory
runny_nose,Respiratory
congestion,Respiratory
chest_pain,Cardiovascular
weakness_in_limbs,Musculoskeletal
fast_heart_rate,Cardiovascular
pain_during_bowel_movements,Gastrointestinal
pain_in_anal_region,Gastrointestinal
bloody_stool,Gastrointestinal
irritation_in_anus,Gastrointestinal
neck_pain,Musculoskeletal
dizziness,Neurological
cramps,Musculoskeletal
bruising,Skin
obesity,Endocrine
swollen_legs,Cardiovascular
swollen_blood_vessels,Cardiovascular
puffy_face_and_eyes,General
enlarged_thyroid,Endocrine
brittle_nails,Skin
swollen_extremeties,Musculoskeletal
excessive_hunger,Endocrine
extra_marital_contacts,Risk Factor
drying_and_tingling_lips,Oral
slurred_speech,Neurological
knee_pain,Musculoskeletal
hip_joint_pain,Musculoskeletal
muscle_weakness,Musculoskeletal
stiff_neck,Neurological
swelling_joints,Musculoskeletal
movement_stiffness,Musculoskeletal
spinning_movements,Neurological
loss_of_balance,Neurological
unsteadiness,Neurological
weakness_of_one_body_side,Neurological
loss_of_smell,Neurological
bladder_discomfort,Urinary
continuous_feel_of_urine,Urinary
passage_of_gases,Gastrointestinal
internal_itching,Skin
toxic_look_(typhos),General
depression,Psychological
irritability,Psychological
muscle_pain,Musculoskeletal
altered_sensorium,Neurological
red_spots_over_body,Skin
belly_pain,Gastrointestinal
abnormal_menstruation,Reproductive
watering_from_eyes,Ocular
increased_appetite,Endocrine
polyuria,Urinary
family_history,Risk Factor
mucoid_sputum,Respiratory
rusty_sputum,Respiratory
lack_of_concentration,Neurological
visual_disturbances,Ocular
receiving_blood_transfusion,Risk Factor
receiving_unsterile_injections,Risk Factor
coma,Neurological
stomach_bleeding,Gastrointestinal
distention_of_abdomen,Gastrointestinal
history_of_alcohol_consumption,Risk Factor
blood_in_sputum,Respiratory
prominent_veins_on_calf,Cardiovascular
palpitations,Cardiovascular
painful_walking,Musculoskeletal
pus_filled_pimples,Skin
blackheads,Skin
scurring,Skin
skin_peeling,Skin
silver_like_dusting,Skin
small_dents_in_nails,Skin
inflammatory_nails,Skin
blister,Skin
red_sore_around_nose,Skin
yellow_crust_ooze,Skin
